signalGroup,category,forwardHorizon,sampleSize,winRate,avgReturn,medianReturn,maxReturn,minReturn,avgWinner,avgLoser,profitFactor,positiveReturnCount,negativeReturnCount,missingPriceRows,readyStatus,matchedSignalRows,totalSignalRows
at least 4 positive days in latest 5D,Persistent inflow,5D,116,0.5603448275862069,0.056319639444915824,0.007062689889865803,0.5085764581705792,-0.23705593371992417,0.14821984711741604,-0.06080807621611383,3.1066210286857125,65,51,5,Usable,121,753
at least 4 positive days in latest 5D,Persistent inflow,10D,106,0.6415094339622641,0.12616511585709025,0.03475547791174527,1.100196942438358,-0.23048666058556944,0.22801843393959653,-0.05609871650107888,7.273481685484856,68,38,15,Usable,121,753
at least 4 positive days in latest 5D,Persistent inflow,20D,75,0.76,0.3893148392586713,0.11484826587705022,1.6971935115585235,-0.3064684390515552,0.5447515385546726,-0.10290137517866643,16.764076629309233,57,18,46,Watch,121,753
at least 7 positive days in latest 10D,Persistent inflow,1D,127,0.5433070866141733,0.012561750116177125,0.007505620335539476,0.1936339683584518,-0.30513899960432866,0.0553915816216439,-0.03839098046791266,1.7164677948104594,69,58,0,Usable,127,753
at least 7 positive days in latest 10D,Persistent inflow,3D,125,0.608,0.046038344229155426,0.020152374330577816,0.3508399720646782,-0.3145840032066832,0.1125896868209419,-0.05718414632137054,3.0537992300626544,76,49,2,Usable,127,753
at least 7 positive days in latest 10D,Persistent inflow,5D,119,0.6218487394957983,0.08382044591658959,0.03427755420954637,0.5085764581705792,-0.212154863053585,0.16668668286860927,-0.052448477071176086,5.226214466326181,74,45,8,Usable,127,753
at least 7 positive days in latest 10D,Persistent inflow,10D,102,0.7254901960784313,0.1921237276584376,0.1034255763170131,1.100196942438358,-0.2434345321126965,0.28141229609160806,-0.04385320320065576,16.95959342834081,74,28,25,Usable,127,753
at least 7 positive days in latest 10D,Persistent inflow,20D,72,0.8472222222222222,0.5056302395751008,0.31427040011425367,1.6971935115585235,-0.0770046042494057,0.6047248154069902,-0.043894226401740614,76.39897661380982,61,11,55,Watch,127,753
flow1D > 0 and flow3D > 0 and flow5D > 0,Persistent inflow,1D,188,0.5585106382978723,0.009560316602766624,0.0037633535939981533,0.1936339683584518,-0.30513899960432866,0.04318640055314548,-0.03297870526217048,1.6566265369063227,105,83,0,Usable,188,753
flow1D > 0 and flow3D > 0 and flow5D > 0,Persistent inflow,3D,186,0.5591397849462365,0.0258452527040906,0.00972578163187332,0.3508399720646782,-0.3145840032066832,0.08945749079652049,-0.05483368341313756,2.0691347716946864,104,82,2,Usable,188,753
flow1D > 0 and flow3D > 0 and flow5D > 0,Persistent inflow,5D,181,0.574585635359116,0.04372882683435085,0.008280720797259722,0.5085764581705792,-0.23705593371992417,0.11994848952397949,-0.05921721108410861,2.735832142733407,104,77,7,Usable,188,753
flow1D > 0 and flow3D > 0 and flow5D > 0,Persistent inflow,10D,166,0.608433734939759,0.1090122349928504,0.027311678525513527,1.100196942438358,-0.2434345321126965,0.21595261728325318,-0.05715666671992927,5.870831226440153,101,65,22,Usable,188,753
flow1D > 0 and flow3D > 0 and flow5D > 0,Persistent inflow,20D,122,0.6967213114754098,0.27046794809167574,0.11082450784316689,1.6971935115585235,-0.3064684390515552,0.4329268106677952,-0.10274835782643663,9.679586254358306,85,37,66,Usable,188,753
flow3D > 0 and flow5D > 0 and flow10D > 0,Persistent inflow,1D,208,0.5625,0.008805535967809388,0.004307370834055635,0.1936339683584518,-0.30513899960432866,0.04435111855919804,-0.03689592736397602,1.5455057181905711,117,91,0,Usable,208,753
